,Unnamed: 0,Tên,Giá,Màn hình,CPU,RAM
0,0,Liên hệ đặt hàngLaptop ASUS Zenbook 17 FOLD OLED UX9702AA-MD014W (i7-1250U/RAM 16GB/1TB SSD/ Windows 11),85.890.000₫,"17.3"" FOLED (2560 x 1920)",Intel Core i7-1250U,16GB Onboard LPDDR5
1,1,Liên hệ đặt hàngLaptop ASUS Expertbook B5 B5302CBA-EG0084W (i5-1235U/RAM 16GB/512GB SSD/ Windows 11),27.190.000₫,"13.3"" (1920 x 1080)",Intel Core i5-1235U,16GB (8GB + 8GB Onboard) DDR5
2,2,Liên hệ đặt hàngLaptop ASUS Expertbook B5 Flip B5302FBA-LG0081W (i5-1235U/RAM 16GB/512GB SSD/ Windows 11),28.190.000₫,"13.3"" (1920 x 1080)",Intel Core i5-1235U,16GB (8GB + 8GB Onboard) DDR5
3,3,Liên hệ đặt hàngLaptop HP Victus 15-fa0108TX (7C0X0PA) (i7-12700H/RAM 16GB/512GB SSD/ Windows 11),30.490.000₫,"15.6"" IPS (1920 x 1080)",Intel Core i7-12700H,2 x 8GB DDR4 3200MHz
4,4,Liên hệ đặt hàngLaptop HP Envy x360 13-bf0113TU (7C0V8PA) (i5-1230U/RAM 8GB/512GB SSD/ Windows 11),28.790.000₫,"13.3"" OLED (2880 x 1800)",Intel Core i5-1230U,8GB Onboard LPDDR4X 4266MHz
5,5,Liên hệ đặt hàngLaptop Dell Vostro 3420 (3420-71003348) (i5-1235U/RAM 8GB/512GB SSD/ Windows 11 + Office),15.890.000₫,"14"" WVA (1920 x 1080)",Intel Core i5-1235U,1 x 8GB DDR4 2666MHz
6,6,"Liên hệ đặt hàngMáy tính xách tay/ Laptop MacBook Pro 13"" Z16T0003V (M2/ 16GB/ SSD 256GB) (Bạc) - Hàng trưng bày",29.990.000₫,"13.3"" IPS (2560 x 1600)",Apple M2,1 x 16GB
7,7,Liên hệ đặt hàngMáy tính xách tay/ Laptop Lenovo Ideapad 3 - 15IAU7 -82RK005KVN (i3-1215U) (Xanh) - Hàng trưng bày,14.190.000₫,"15.6"" TN (1920 x 1080)",Intel Core i3-1215U,8GB Onboard GDDR4 3200MHz
8,0,Liên hệ đặt hàngMáy tính xách tay/ Laptop Acer Aspire 7 A715-42G-R4XX (NH.QAYSV.008) (AMD Ryzen 5 5500U) (Đen) - Hàng trưng bày,12.990.000₫,AMD Ryzen 5 5500U,"15.6"" IPS (1920 x 1080)",1 x 8GB DDR4 3200MHz
9,1,Liên hệ đặt hàngLaptop HP 240 G8 (617K7PA) (i3-1115G4/RAM 4GB/256GB SSD/ Windows 11),12.090.000₫,"14"" (1366 x 768)",Intel Core i3-1115G4,1 x 4GB DDR4 3200MHz
10,2,Liên hệ đặt hàngLaptop HP 245 G9 (6L1N8PA) (Ryzen 5 5625U/RAM 8GB/256GB SSD/ Windows 11),15.390.000₫,"14"" IPS (1920 x 1080)",AMD Ryzen 5 5625U,1 x 8GB DDR4 3200MHz
11,3,Liên hệ đặt hàngLaptop HP Elite Dragonfly G3 (6Z979PA) (i7-1255U/RAM 16GB/512GB SSD/ Windows 11 Pro),49.990.000₫,"13.5"" IPS (1920 x 1280)",Intel Core i7-1255U,16GB Onboard LPDDR5 6400MHz
12,4,Liên hệ đặt hàngLaptop HP EliteBook 840 G9 (6Z967PA) (i7-1255U/RAM 8GB/512GB SSD/ Windows 11 Pro),36.990.000₫,"14"" IPS (1920 x 1200)",Intel Core i7-1255U,1 x 8GB DDR5 4800MHz
13,5,Liên hệ đặt hàngLaptop HP EliteBook 830 G9 (6Z973PA) (i7-1255U/RAM 8GB/512GB SSD/ Windows 11 Pro),36.990.000₫,"13.3"" IPS (1920 x 1200)",Intel Core i7-1255U,8GB Onboard DDR5 4800MHz
14,6,Liên hệ đặt hàngLaptop HP EliteBook 830 G9 (6Z972PA) (i5-1235U/RAM 8GB/512GB SSD/ Windows 11 Pro),31.990.000₫,"13.3"" IPS (1920 x 1200)",Intel Core i5-1235U,8GB Onboard DDR5 4800MHz
